CapBac,CongTy,HanNopCV,ID,KinhNghiem,Link,LoaiHinh,Luong,MoTa,Nganh,PhucLoi,SoLuong,TenCV,TinhThanh,Web,YeuCau
Middle,"
                  Công ty Cổ phần Phần mềm Devwork
                ",2023-12-23,IT_DV_1,3 năm,https://devwork.vn/viec-lam/11933/.net-onsite-cau-giay,Full-time,15-20 triệu,"- Xây dựng phần mềm theo yêu cầu của Công ty và Khách hàng.,
- Nghiên cứu và đưa ra kết quả nghiên cứu theo yêu cầu,
- Thực hiện các nhiệm vụ khác theo sự phân công của trưởng bộ phận.",IT,"- Không cần thử việc, có việc làm chính thức hưởng 100% lương,
- Cơ hội làm việc nhóm với nhiều chuyên gia hàng đầu trong lĩnh vực CNTT trong nước và quốc tế.,
- Cơ hội thực hiện các dự án đầy tham vọng ở nhiều quốc gia, tiếp xúc với các công nghệ mới nhất và học hỏi từ những đồng nghiệp giỏi.,
- Làm việc trong môi trường trẻ, năng động, hiện đại và đa văn hóa; Các hoạt động truyền thông, sự kiện vào các ngày lễ diễn ra thường xuyên.,
- Cơ hội thăng tiến theo năng lực với mức tăng cấp bậc và tăng lương tương ứng.,
- Được quyền tham gia các khóa đào tạo kỹ năng mềm (tư duy logic, tư duy sáng tạo, kỹ năng giao tiếp, kỹ năng quản lý dự án, kỹ năng đàm phán…) và các lớp học tiếng Nhật.,
- Và nhiều quyền lợi hấp dẫn khác...",1 người,"
                .Net onsite Cầu Giấy
              ","
                Hà Nội
              ",DevWork,"- Có 2 đến 3 năm kinh nghiêm với .Net core ,
- Có kinh nghiệm Microsoft Visual Studio 2022 (ngôn ngữ là Microsoft Visual Basic),
- Thành thạo máy chủ MySQL (phiên bản 8.0.34),
- Kinh nghiệm SPREAD cho Windows Form 15.0J SP2"
Senior,"
                  LogiGear Viet Nam - Ha Noi Branch
                ",2023-12-27,IT_DV_2,5 năm,https://devwork.vn/viec-lam/11943/java-developer,Full-time,25-35 triệu,"- Play as a developer in an agile development team to develop the products.,
- Update the work status and escalate the team’s impediments in the daily scrum.,
- Effectively collaborate with others to resolve the impediments.,
- Contribute to building up a feature design document with the coordination of the Product Owner and Product Designers.,
- May be in charge of developing a solution into a detailed design and coordinating to collect the estimation from the team.,
- May be in charge of coaching the newcomers in certain components. ,
- Partake to achieve the objectives of the team and other organizational goals in an attempt to create more value for the clients and the company. ,
- Frequently expand the technical capability (supported by the direct manager) via learning and sharing activities.",IT,"- Salary: Up to 1600$, 14th salary bonus;,
- Probation 100% salary;,
- Performance bonus following project’s revenue => With a good performance member, you can get more than 14 months of salary;,
- Working hours: 8:30 – 17:30 (Monday – Friday);,
- Working place: Company office. Sometimes may be adjusted following Project Status;,
- Others: monthly team building, being coached directly by the CEO.",1 người,"
                JAVA DEVELOPER
              ","
                Hà Nội
              ",DevWork,"- Graduated from university/college majoring in IT (Computer science, software technology, ..) or trained in IT;,
- Solid knowledge in the data structure & algorithm and design patterns and advocate applying them in your code.,
- Proven skills with Java Core (Java 8+), Lambda Expression, Stream, Collection, Concurrency, and Swing.,
- At least 5+ years of application development experience Java Spring Boot or Java Swing.,
- Good skills in unit testing and common tools & frameworks (JUnit, Mockito, Power Mock, etc.). ,
- Experience in designing and implementing RESTful APIs,
- Experience with databases, such as MySQL or PostgreSQL,
,
Priority,
- Basic knowledge about C++ programming language and ability to write a C++ program.,
- Experience with Spring Framework and a good understanding of its components (Spring MVC, IOC, AOP, Spring Boot, Spring Cloud, Spring Security, Spring JDBC, JPA, Hibernate, etc.),
- Experience working with cloud services like AWS, ADO.,
- Being a DevOps advocate, with working knowledge of Docker, Jenkins.,
- Understanding of VB, .Net, Migration System,
- Understanding of Microservices architecture,
- Understanding of software development methodologies, such as Agile or Scrum"
Senior,"
                  Công ty Cổ phần Phần mềm Devwork
                ",2023-12-24,IT_DV_3,4 năm,https://devwork.vn/viec-lam/11935/java-senior-remote,Full-time,20-25 triệu,"- Xây dựng phần mềm theo yêu cầu của Công ty và Khách hàng.,
- Nghiên cứu và đưa ra kết quả nghiên cứu theo yêu cầu,
- Thực hiện các nhiệm vụ khác theo sự phân công của trưởng bộ phận.",IT,"- Không cần thử việc, có việc làm chính thức hưởng 100% lương,
- Cơ hội làm việc nhóm với nhiều chuyên gia hàng đầu trong lĩnh vực CNTT trong nước và quốc tế.,
- Cơ hội thực hiện các dự án đầy tham vọng ở nhiều quốc gia, tiếp xúc với các công nghệ mới nhất và học hỏi từ những đồng nghiệp giỏi.,
- Làm việc trong môi trường trẻ, năng động, hiện đại và đa văn hóa; Các hoạt động truyền thông, sự kiện vào các ngày lễ diễn ra thường xuyên.,
- Cơ hội thăng tiến theo năng lực với mức tăng cấp bậc và tăng lương tương ứng.,
- Được quyền tham gia các khóa đào tạo kỹ năng mềm (tư duy logic, tư duy sáng tạo, kỹ năng giao tiếp, kỹ năng quản lý dự án, kỹ năng đàm phán…) và các lớp học tiếng Nhật.,
- Và nhiều quyền lợi hấp dẫn khác...",1 người,"
                Java Senior Remote
              ","
                Hà Nội
              ",DevWork,"- Có kinh nghiệm triển khai với LGE ThinQ (phần điều khiển Java iOT thiết bị của LG),
- Tối thiểu 4 năm kinh nghiệm phát triển ứng dụng web với Java,
- Có kinh nghiệm viết và review source code theo nguyên tắc clean code,
- Kinh nghiệm phát triển backend với RDBMS như Oracle / MySQL / PostgreSQL,
- Kinh nghiệm phát triển giao diện người dùng bằng HTML/CSS/Javascript với bất kỳ khung giao diện người dùng hiện đại nào"
Senior,"
                  LogiGear Viet Nam - Ha Noi Branch
                ",2023-12-27,IT_DV_4,5 năm,https://devwork.vn/viec-lam/11942/php-developer-(laravel),Full-time,20-30 triệu,"- Will be part of a full-stack creative team responsible for all aspects of the ongoing software development, from initial; specifications to development, testing, and launching;,
- Managing back-end services and the interchange of data between the server and the users;,
- Depending on the job, the programmer can be assigned to research and develop the company’s products;,
- Participating in all phases of software development: requirement, design, development, testing.",IT,"- Salary: Upto 1500$, 14th salary bonus;,
- Performance bonus following project’s revenue => With a good performance member, you can get more than 14 months of salary;,
- Probation 100% salary;,
- Working hours: 8:30 – 17:30 (Monday – Friday);,
- Working place: Company office. Sometimes may be adjusted following Project Status;,
- Others: monthly team building, being coached directly by the CEO.",1 người,"
                PHP DEVELOPER (LARAVEL)
              ","
                Hà Nội
              ",DevWork,"- Previous working experience as a PHP/Laravel Developer for 5 year or above;,
- Experience with: Yii, Laravel…;,
- Proficient in operations with one of the database systems: MySQL / MSSQL / Oracle;,
- Proficient in SRC code management tools such as git, and SVN; Task management tools like Redmine, Jira, Backlog, Odoo;,
- Coordinate with co-developers and keep project managers well informed of the status of development effort and serve as a liaison between development staff and project manager.,
,
Priority: ,
- Good at English or Japanese (listening, writing, reading);,
- Candidates who have leadership will be trained to senior management positions of the company in the future;,
- In addition to PHP, if you can do a variety of technology languages is an advantage."
Senior,"
                  Công ty Cổ phần Phần mềm Devwork
                ",2023-12-27,IT_DV_5,4 năm,https://devwork.vn/viec-lam/11939/ios-developer-(-hybrid-q7)_hcn,Full-time,20-30 triệu,"Build software according to the requirements of the Company and the Customer.,
Research and bring research results as required,
Perform other duties as assigned by the head of department,
Hybrid 2-3 days/week",IT,"- No need to try a job, get an official job with 100% salary,
- Opportunities onsite and working with big customers, advanced technology, self-development...,
- The opportunity to work in groups with many leading experts in the field of domestic and international IT.,
- Opportunity to implement ambitious projects in many countries, exposure to the latest technologies and learn from good colleagues.,
- Working in a young, vibrant, modern and multicultural environment; Communication activities and events on holidays take place regularly.,
- Opportunity for advancement based on ability with corresponding increase in rank and salary increase.,
- Have the right to participate in soft skills training courses (logical thinking, creative thinking, communication skills, project management skills, negotiation skills…) and Japanese language classes.,
- And many other attractive benefits...",2 người,"
                IOS Developer ( hybrid Q7)_HCN
              ","
                Hồ Chí Minh
              ",DevWork,"● At least 4.5 YOE in IOS Developement,
● Proficient in native iOS/Swift development.,
● Collaborate with cross-functional teams to deliver high-quality mobile applications.,
● English spoken: Optional, it would be a plus point if you can speak English"
Junior,"
                  CÔNG TY CỔ PHẦN MINDBANK TECH
                ",2023-12-27,IT_DV_6,1 năm,https://devwork.vn/viec-lam/11945/junior-java,Full-time,10-20 triệu,"Nội dung công việc:,
- Phát triển các sản phẩm, tính năng mới cho Hệ thống quản lý hỗ trợ trường Đại học dựa trên nền tảng các sản phẩm của Microsoft (MS Teams, PowerBI, Sharepoint..), phát triển bằng ngôn ngữ Java.",IT,"Chế độ đãi ngộ:,
- Mức lương: upto 20M,
- Lương thỏa thuận, theo chuyên môn và kinh nghiệm.,
- Thưởng: thưởng các ngày lễ, Tết; thưởng kết quả công việc; thưởng đột xuất khác,
- Phụ cấp: phụ cấp ăn trưa, điện thoại, đi lại; phụ cấp trách nhiệm,
- Phúc lợi xã hội: bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp,
,
Sức khỏe & đời sống văn hóa tinh thần:,
- Chế độ nghỉ phép, nghỉ ngày lễ theo quy định của Nhà nước,
- Chế độ nghỉ mát hàng năm,
- Chế độ thai sản,
- Khám sức khỏe định kỳ hàng năm,
- Thăm hỏi, động viên, giúp đỡ tinh thần và vật chất cho nhân viên: cưới hỏi, bệnh tật, tai nạn, việc hiếu,
- Chúc mừng sinh nhật nhân viên hàng tháng,
- Liên hoan, picnic, team building định kỳ,
,
Đào tạo phát triển nhân viên:,
- Đào tạo nhân viên mới,
- Đào tạo nâng cao chuyên môn, nghiệp vụ; giới thiệu xu hướng công nghệ mới,
- Đào tạo lực lượng quản lý, lãnh đạo kế cận.,
- Đào tạo tiếng Nhật miễn phí và trợ cấp tiếng Nhật khi đạt chứng chỉ. N5: 500k/ tháng; N4: 1 triệu/ tháng; N2: 2 triệu/ tháng",1 người,"
                Junior Java
              ","
                Hà Nội
              ",DevWork,"Yêu cầu:,
+ Có bằng ĐH tiếng Nhật từ N4,
+ Có từ 1 năm kinh nghiệm trở lên phát triển hệ thống bằng Java, chịu khó và ham học hỏi.,
+ Sẵn sàng nghiên cứu sản phẩm, tính năng mới,
+ Sẵn sàng học tiếng Nhật (được công ty đào tạo miễn phí và có cơ hội sang Nhật làm việc),
Quy trình PV: pv 2 vòng, 1 vòng online ngắn với HR. Vòng 2 làm bài test (Online)"
Senior,"
                  Công ty Cổ phần Phần mềm Devwork
                ",2023-12-27,IT_DV_7,4 năm,https://devwork.vn/viec-lam/11940/android-developer-(hybrid-q7)_hcn,Full-time,20-30 triệu,"Build software according to the requirements of the Company and the Customer.,
Research and bring research results as required,
Perform other duties as assigned by the head of department,
Hybrid 2-3 days/week",IT,"- No need to try a job, get an official job with 100% salary,
- Opportunities onsite and working with big customers, advanced technology, self-development...,
- The opportunity to work in groups with many leading experts in the field of domestic and international IT.,
- Opportunity to implement ambitious projects in many countries, exposure to the latest technologies and learn from good colleagues.,
- Working in a young, vibrant, modern and multicultural environment; Communication activities and events on holidays take place regularly.,
- Opportunity for advancement based on ability with corresponding increase in rank and salary increase.,
- Have the right to participate in soft skills training courses (logical thinking, creative thinking, communication skills, project management skills, negotiation skills…) and Japanese language classes.,
- And many other attractive benefits...",2 người,"
                Android Developer (Hybrid Q7)_HCN
              ","
                Hồ Chí Minh
              ",DevWork,"● At least 4.5 YOE in Android Development,
● Fluent in native Android development, preferably Kotlin but they can train a solid Java Android engineer quickly too.,
● English spoken: Optional, it would be a plus point if you can speak English"
Senior,"
                  Công ty Cổ phần Phần mềm Devwork
                ",2023-12-27,IT_DV_8,4 năm,https://devwork.vn/viec-lam/11941/backend-developer-(hybrid-q7)_hcn,Full-time,20-30 triệu,"Build software according to the requirements of the Company and the Customer.,
Research and bring research results as required,
Perform other duties as assigned by the head of department,
Develop and maintain robust backend systems with a focus on distributed,
systems.",IT,"- No need to try a job, get an official job with 100% salary,
- Allowance onsite 100.000VNĐ/day,
- Opportunities onsite and working with big customers, advanced technology, self-development...,
- The opportunity to work in groups with many leading experts in the field of domestic and international IT.,
- Opportunity to implement ambitious projects in many countries, exposure to the latest technologies and learn from good colleagues.,
- Working in a young, vibrant, modern and multicultural environment; Communication activities and events on holidays take place regularly.,
- Opportunity for advancement based on ability with corresponding increase in rank and salary increase.,
- Have the right to participate in soft skills training courses (logical thinking, creative thinking, communication skills, project management skills, negotiation skills…) and Japanese language classes.,
- And many other attractive benefits...",1 người,"
                Backend Developer (hybrid Q7)_HCN
              ","
                Hồ Chí Minh
              ",DevWork,"● 4.5 years of experience in Backend Development,
● Utilize strong knowledge and experience in backend development (Golang)"
Senior,"
                  LogiGear Viet Nam - Ha Noi Branch
                ",2023-12-27,IT_DV_9,5 năm,https://devwork.vn/viec-lam/11944/c-asp.net-developer,Full-time,25-35 triệu,"- Phát triển và bảo trì ứng dụng liên quan đến một phần mềm ERP của Nhật Bản,
- Tham gia vào toàn bộ quá trình phát triển phần mềm,
- Viết code rõ ràng, hiệu quả và dễ bảo trì,
- Review code và đảm bảo chất lượng code của team,
- Phối hợp với các team khác (QA, TESTER…) để xác định và giải quyết các vấn đề,
- Viết các tài liệu kỹ thuật,
- Khắc phục sự cố và fix bug khi có,
- Cập nhật với các xu hướng và các quy trình mới nhất trong ngành.,
- Báo cáo cho người quản lý trực tiếp về tiến độ, vấn đề, chất lượng...,
- Thực hiện các công việc khác theo sự phân công của người quản lý",IT,"- Mức lương: upto 40M , thử việc 100% lương.,
- Môi trường làm việc chuyên nghiệp, cởi mở, thân thiện và trẻ trung, máu lửa, có cơ hội thăng tiến, phát triển bản thân cao.,
- Cơ hội tiếp xúc trực tiếp với khách hàng, nắm bắt nghiệp vụ và tư vấn lại cho khách hàng.,
- Lương tháng 13 cố định (nếu làm đủ năm).,
- Thưởng năng suất theo doanh thu dự án. Với mức thưởng này và mức lương tháng 13, nhân viên LogiGear Hà Nội có thể nhận tới hơn 14 tháng lương/năm.,
- Quà nhân dịp Lễ, Tết, hiếu hỉ.,
- Các chế độ BHXH, BHYT, khám sức khỏe định kỳ hàng năm.,
- Thời gian làm việc: Từ 8:30 đến 17:30, từ thứ Hai đến thứ Sáu hàng tuần.,
- Nghỉ lễ theo lịch chung của Việt Nam.,
- Các phúc lợi khác: Teambuilding hàng tháng, được coaching trực tiếp từ Giám đốc bộ phận.",1 người,"
                C#, ASP.NET Developer
              ","
                Hà Nội
              ",DevWork,"- Có nhiều kinh nghiệm làm các dự án ERP,
- Ưu tiên đã có kinh nghiệm làm dự án Grandit ERP của Nhật Bản ,
- Có tối thiểu 5 năm kinh nghiệm .NET (C#, ASP.NET), .Net Core, MVC5, SQL Server , PostgreSQL Server, Javascript/ jQuery, CSS, HTML.,
- Có khả năng phân tích thiết kế hệ thống, có kiến thức về Design Pattern, OOP…,
- Có kiến thức và hiểu biết về: azure cloud, windows server, EF framework, unit test."
Senior,"
                  Devwork Client
                ",2023-12-27,IT_DV_10,5 năm,https://devwork.vn/viec-lam/11947/ky-su-cad-lam-viec-tai-nhat,Full-time,60-80 triệu,"Kiến thức về thiết kế cơ khí/thiết kế công nghiệp (Chuyên gia/Có kinh nghiệm/Người mới bắt đầu),
- Vận hành CAD (Chuyên gia/Có kinh nghiệm/Người mới bắt đầu),
- Tiếng Nhật (N1/N2/N3)",IT,"Mức lương: 30-60man/ tháng,
-Làm việc trong môi trường trẻ, năng động, hiện đại và đa văn hóa, các hoạt động truyền thông, sự kiện vào các ngày lễ diễn ra thường xuyên.,
-Cơ hội thăng tiến theo năng lực với mức tăng cấp bậc và tăng lương tương ứng.",10 người,"
                Kỹ Sư CAD làm việc tại Nhật
              ","
                Tokyo
              ",DevWork,"Kiến thức về thiết kế cơ khí/thiết kế công nghiệp (Chuyên gia/Có kinh nghiệm/Người mới bắt đầu),
- Vận hành CAD (Chuyên gia/Có kinh nghiệm/Người mới bắt đầu),
- Tiếng Nhật (N1/N2/N3)"
